reviews,sentiment,probability
store concerned buttons hard push complicated set decided give product try sleep alarm clock price seemed alright ad feature liked curved sleek shape unit unlike many looked confusion hard accidentally reset time sleep happy face smiley built buzzer alarm pretty good sound insistent pleasant mornings hard enough looked forward testing speaker quality one ads instead relying store radio reception though speakers sounded alright store unfortunately disappointed get unit home discover ad player work straight box reading reviews think trying different product instead taking risk one,negative,0.824931263923645
get hot takes forever straighten hair fine hair usually takes time took forever completely straighten,positive,0.9379386305809021
bought item looked way better plastic sprinklers however regardless looks still plastic counts gear made plastic last even season stay away item money shop around find better one,negative,0.9015837907791138
great idea lots problems various toner error messages right box paper feed problems bad rude customer support would avoid product could cause lot headaches downtime despite seeming like good deal,negative,0.8128454089164734
book advanced study nature ritual expression cultural forms mechanism transmitting altering forms synthesizes recent post modern theories field observations challenge many past academic ideas nature ritual even suggesting ritual thing ritualizing practice certain social religious aims technical following author argument requires lot familiarity field despite tough going specialists find book brilliant insightful future theory ritual able ignore,positive,0.9772281050682068
looking adapter pole plug bulky easily interchanged pole european power cord idea alternative clumsy ace wall wart got pole power plug fat three pole power cord makes whole thing nearly twice bulky pictured store network pouch cord,negative,0.8575429916381836
look may shortest review ever written say compilation yet another cash grab morons capitol records entries useless ten best series yeah classic hits beach boys total time disc barely minutes right hour worth music could fit disc addition already go elsewhere seek sounds summer really must beach boys compilation otherwise buy pet sounds twofer reissues studio albums three live albums except summer paradise sucked another review altogetherconfusion heard entirety avoid compilation like plague,negative,0.878983199596405
include drawer dividers dividers another large small adds buying multiple units sank another units get dividers price unit considering made completely plastic dividers included nothing hidden cost find deceitful,negative,0.9329543709754944
bought player less month ago already broken plan returning store bought think get player probably try different brand children live quite distance anything watch player times per week went town latch player close properly screen would say player still open unless applied pressure hold lid player shut using player return store refund really kind disappointing old van still going strong years constant use traded,negative,0.9483473896980286
vinyl attached wire insulating vinyl slippery sardine oil clip rotates hand trying attach heathen vinyl sleeve slips back along wire negating insulation effect sorry bought,negative,0.9775735139846802
looking book helps japan's grammar book book give depth lessons english translations sentences making even difficult learn language color pages thing good book recommend book beginners look elsewhere,positive,0.9743116497993469
wight oakum came explosively charged hits album shows best vocal range along babylonian cowboys wight shows us one best country singers ever huge wight oakum fan like music reason gave review stars something missing believe wight included hits arms things change album must,positive,0.9754337072372437
book great little bit everything riding common horse problems,positive,0.9746549129486084
great scale looks nice bathroom great conversation piece guest yes would recommend scale others also accurate,positive,0.9828116297721863
bought new computer year vista premium beautiful program great graphics horrible work many security features program bogs slow stick tongue sticking cheeky playful blowing raspberry exciting features worth hassle dealing,negative,0.7626368999481201
find go range often cleaning rifle much easier kit great storing everything,positive,0.9843444228172302
fan john lee hooker probably want something every era including course first recordings indeed classic early years music lives title great bargain price tracks bought particularly get let daddy ride got slew great tracks along like early howling wolf recordings raw untamed better,positive,0.9611031413078308
love shark stories light reading always fun story okay alien writes like amateur instant character development rushed dialog way many cliques thought terry heart ached tried recall last time laughed together guess mad paid full price book looking forward fun read poor writing distracts beyond enjoyment,negative,0.7958641052246094
back cover somewhat dented place quarters thoseproduced prior,negative,0.867676854133606
loved watching movie mommy sweeny kick effects great look forward sweeny next movie,positive,0.9828271865844727
looking good syrup dispenser years finally found one seal works leak spout works great without dribbling easy take top heat syrup microwave happy far,positive,0.9866719841957092
much mature donna emerges latest sadness america life probably personal non commercial ad date gets much better listens wish sometimes made would lighten much enjoyed first two singles america life hollywoodconfusion also feel nothing fails mother father intervention love profusion best tracks also single worthy songs simply usually skip stupid nobody knows would definitely recommend ad wish lighter tracks vein tell beautiful stranger et,positive,0.9127862453460693
